order_item_id,order_id,product_id,add_to_cart_order,quantity,item_price
1,1,1,7,1,151.01
2,1,136,4,1,855.45
3,1,37,6,2,719.01
4,2,70,5,1,715.14
5,2,15,5,1,722.34
6,2,85,2,1,951.36
7,3,81,9,1,244.06
8,3,68,1,2,836.16
9,4,63,1,1,197.71
10,4,11,10,1,254.0
11,4,166,9,1,86.54
12,4,119,4,1,40.27
13,5,177,5,1,311.18
14,6,96,6,1,576.53
15,6,81,3,2,244.06
16,7,95,6,2,196.96
17,7,146,6,1,110.58
18,8,178,1,1,457.92
19,8,106,8,1,609.75
20,8,29,9,2,437.82
21,9,4,7,1,451.12
22,9,46,6,1,43.61
23,10,67,8,1,86.38
24,10,62,6,2,75.44
25,11,82,9,1,585.62
26,11,53,6,1,828.48
27,11,20,7,1,634.46
28,12,15,2,1,722.34
29,12,58,7,1,754.99
30,13,199,1,1,476.86
31,14,9,9,1,44.76
32,14,48,5,1,773.02
33,14,17,8,2,597.23
34,14,109,10,1,720.82
35,15,200,8,1,397.96
36,15,182,8,1,485.06
37,16,135,8,1,703.94
38,17,140,10,1,953.32
39,17,138,3,1,988.12
40,18,147,4,1,418.97
41,18,41,7,1,687.18
42,18,160,7,1,564.03
43,19,40,4,2,630.89
44,19,93,2,2,394.77
45,20,152,4,1,128.5
46,20,104,1,1,529.65
47,21,89,9,1,476.64
48,21,179,8,1,415.56
49,21,81,8,1,244.06
50,22,162,9,1,418.29
51,23,133,2,2,985.17
52,23,187,5,1,644.9
53,23,181,8,1,189.96
54,23,92,10,1,421.64
55,24,92,3,1,421.64
56,24,12,9,1,200.18
57,25,108,9,1,748.66
58,26,79,8,1,968.01
59,27,26,1,2,651.97
60,27,181,8,1,189.96
61,27,131,6,1,903.88
62,28,127,4,1,221.45
63,28,98,5,1,997.93
64,28,166,8,1,86.54
65,29,57,7,2,745.42
66,29,86,9,1,46.22
67,29,164,5,1,532.51
68,30,45,7,1,541.25
69,30,97,2,2,428.97
70,30,117,8,1,312.78
71,31,185,7,2,928.57
72,32,70,6,1,715.14
73,33,61,9,1,909.57
74,34,172,2,1,43.23
75,34,115,8,1,987.09
76,35,92,10,1,421.64
77,35,118,4,1,176.49
78,36,142,2,2,974.97
79,36,185,4,2,928.57
80,37,130,1,1,238.03
81,37,66,10,1,243.63
82,37,124,6,1,574.46
83,37,190,8,1,247.15
84,38,8,10,1,561.44
85,38,70,8,1,715.14
86,38,31,8,1,351.45
87,39,2,8,2,386.09
88,39,117,2,1,312.78
89,39,44,7,1,558.26
90,40,133,9,1,985.17
91,40,170,7,1,203.94
92,41,183,10,1,113.28
93,41,101,9,1,672.2
94,41,186,9,2,896.45
95,41,112,9,1,549.05
96,42,87,8,1,928.89
97,42,124,7,1,574.46
98,42,115,10,1,987.09
99,43,191,6,1,333.59
100,43,184,8,1,354.38
101,44,117,5,1,312.78
102,44,97,8,1,428.97
103,44,177,9,1,311.18
104,45,12,1,1,200.18
105,46,66,2,1,243.63
106,46,15,10,2,722.34
107,47,133,2,1,985.17
108,47,12,4,1,200.18
109,47,87,6,2,928.89
110,48,9,5,1,44.76
111,48,107,9,1,249.58
112,49,104,10,1,529.65
