order_id,customer_id,order_placed_timestamp,order_promised_minutes,order_delivery_time_minutes,dark_store_id,delivery_partner_id,total_amount,payment_type,order_status
1,211,2024-11-30 12:55:00,10,11,45,53,2444.48,cod,delivered
2,492,2024-09-18 06:42:00,15,14,39,194,2388.84,prepaid,delivered
3,10,2024-04-15 07:27:00,15,20,42,147,1916.38,prepaid,delivered
4,178,2024-06-11 04:20:00,15,13,25,13,578.52,cod,delivered
5,65,2024-02-29 05:52:00,10,10,27,186,311.18,prepaid,delivered
6,105,2024-07-25 06:22:00,10,14,35,41,1064.65,prepaid,delivered
7,343,2024-12-15 02:50:00,10,10,50,191,504.5,cod,delivered
8,462,2024-08-25 06:38:00,15,10,41,154,1943.31,prepaid,delivered
9,206,2024-03-03 04:44:00,15,23,50,118,494.73,cod,delivered
10,438,2024-01-22 01:10:00,15,18,27,131,237.26,prepaid,delivered
11,242,2024-04-07 01:47:00,10,7,11,75,2048.56,cod,delivered
12,119,2024-10-24 17:44:00,20,22,33,46,1477.33,cod,delivered
13,336,2024-03-28 23:40:00,10,3,7,78,476.86,prepaid,delivered
14,145,2024-01-11 15:09:00,10,12,39,85,2733.06,cod,delivered
15,157,2024-05-27 08:57:00,10,15,20,126,883.02,cod,delivered
16,325,2024-04-14 02:25:00,15,14,32,198,703.94,cod,delivered
17,118,2024-01-23 21:15:00,15,18,42,117,1941.44,cod,delivered
18,22,2024-05-25 02:52:00,15,15,18,101,1670.18,cod,delivered
19,40,2024-10-14 13:44:00,10,19,35,58,2051.32,prepaid,delivered
20,327,2024-06-14 15:31:00,15,11,7,114,658.15,prepaid,delivered
21,201,2024-03-09 01:23:00,20,16,20,20,1136.26,cod,delivered
22,449,2024-05-17 16:21:00,15,5,40,159,418.29,cod,delivered
23,481,2024-05-30 05:08:00,20,22,1,94,3226.84,cod,delivered
24,464,2024-04-03 01:55:00,10,7,34,99,621.82,prepaid,delivered
25,192,2024-09-07 11:01:00,10,20,9,79,748.66,cod,delivered
26,222,2024-07-24 07:02:00,20,18,12,149,968.01,prepaid,delivered
27,183,2024-01-26 07:41:00,10,10,46,78,2397.78,cod,delivered
28,148,2024-01-30 14:23:00,10,4,5,198,1305.92,prepaid,delivered
29,489,2024-12-20 22:52:00,10,4,1,85,2069.57,prepaid,delivered
30,366,2024-09-26 09:26:00,15,13,32,48,1711.97,prepaid,delivered
31,441,2024-09-15 03:04:00,10,18,6,44,1857.14,cod,delivered
32,116,2024-07-23 13:24:00,10,3,6,162,715.14,cod,returned
33,145,2024-12-02 12:55:00,10,10,6,40,909.57,prepaid,delivered
34,300,2024-07-12 14:32:00,10,20,46,191,1030.32,cod,delivered
35,278,2024-03-12 21:41:00,15,14,12,6,598.13,prepaid,delivered
36,163,2024-10-29 15:32:00,20,26,25,39,3807.08,cod,delivered
37,375,2024-09-21 22:20:00,10,13,21,185,1303.27,prepaid,delivered
38,290,2024-01-31 05:44:00,10,4,25,71,1628.03,prepaid,delivered
39,478,2024-03-10 10:07:00,10,10,26,122,1643.22,cod,delivered
40,374,2024-09-17 23:56:00,10,10,6,78,1189.11,prepaid,delivered
41,204,2024-05-25 22:13:00,10,11,4,153,3127.43,prepaid,delivered
42,338,2024-12-20 15:42:00,10,9,19,17,2490.44,prepaid,delivered
43,323,2024-02-01 18:00:00,10,12,42,166,687.97,cod,delivered
44,382,2024-08-04 13:26:00,10,10,20,35,1052.93,cod,delivered
45,61,2024-01-07 18:43:00,15,24,32,21,200.18,prepaid,delivered
46,21,2024-09-17 03:31:00,15,20,36,131,1688.31,prepaid,delivered
47,456,2024-10-26 19:04:00,10,16,17,63,3043.13,cod,delivered
48,306,2024-01-14 15:49:00,15,20,2,67,294.34,cod,delivered
49,231,2024-10-22 01:26:00,10,6,25,39,529.65,cod,delivered
50,125,2024-11-11 05:22:00,10,7,2,36,1820.46,prepaid,delivered
51,73,2024-07-09 04:04:00,15,10,18,126,2474.15,cod,delivered
52,32,2024-04-30 16:43:00,10,12,21,57,979.67,cod,delivered
53,270,2024-10-05 02:23:00,10,7,50,86,1760.81,prepaid,delivered
54,147,2024-08-20 10:50:00,10,21,18,55,2356.93,cod,delivered
55,115,2024-06-20 16:17:00,10,6,35,6,810.01,prepaid,delivered
56,216,2024-06-15 18:54:00,10,12,21,33,2229.35,cod,delivered
57,15,2024-05-08 18:33:00,15,20,22,175,2224.06,prepaid,cancelled
58,315,2024-09-25 04:36:00,10,22,37,104,22.5,cod,delivered
59,1,2024-08-20 15:55:00,10,5,50,107,2274.66,cod,delivered
60,384,2024-07-23 00:37:00,15,15,7,39,1402.1,prepaid,delivered
